"Group.1","iTRAQ8.113","iTRAQ8.114","iTRAQ8.115","iTRAQ8.116","iTRAQ8.117","iTRAQ8.118","iTRAQ8.119","iTRAQ8.121","perox.2015","perox.2017","mito.2015","mito.2017","nucleus.2015","nucleus.2017","golgi.2015","golgi.2017","ER.2015","ER.2017","PM.2015","PM.2017"
"",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0610009D07Rik",158860.064358567,543466.836329635,38785.2987439765,91688.9260194527,423207.631027041,102510.66721796,326812.98149647,108950.893390509,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0610012H03Rik",2952953.87765884,2225802.52979176,15018917.7606439,5164727.69354032,7134541.55473016,2110191.6864677,6558118.43765171,7357777.39941644,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"0610040J01Rik",37940.1372271878,6354.56173643985,11513.4918670569,37291.3324782143,35435.2715226988,21671.6851440724,19895.5320671203,19977.3789450905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1110038F14Rik",59095.7340823853,48082.6852597446,7320.84634100787,18446.4809097648,57201.199487099,11937.3087428754,44917.1873707897,13630.1468063333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1190007I07Rik",1154.04380087548,1358.50599551609,760.976979208084,4234.10504590794,1906.21944427898,783.218275264775,1286.83553613135,1277.55391005585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1500009C09Rik",33673.6518505426,25805.1921807004,235147.93614072,29036.0714443436,124977.72057524,32426.6033772746,64749.4624182926,136025.562012886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1600012H06Rik",366565.621820614,43822.506576859,88420.5286058845,305923.564938482,117391.704720371,63400.0324856809,115566.448087971,127109.563817137,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1600014C10Rik",650744.982007578,1139440.5546777,189731.417175617,866090.186933338,488098.458480338,430793.515556818,860053.997145202,826556.178536621,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700006A11Rik",1600.23758655266,951.082657099041,1342.56199894868,1802.0992311069,1763.77953556857,812.980366425522,1086.46571402285,1492.42189942415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700018B08Rik",122410.307340602,126317.376609388,13265.2631660761,105074.366025537,46644.8928780238,73649.7816259783,85337.4495409334,54040.0431536116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700019D03Rik",1495.65325744127,374.257497608133,541.194542797584,1449.35114531672,1460.85973079404,764.541982181478,1287.49069154805,923.172152312721,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700019L03Rik",428692.631433938,92180.5412296108,71571.0432863705,349588.347922112,150035.829804702,53213.0803652603,149927.521248727,128068.306132557,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700021F05Rik",177917.315121538,191350.002671139,986729.269274158,332100.683173264,454348.737983774,143517.072725764,477822.595001035,803059.38707881,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700022I11Rik",16326.9468257513,5372.76443868612,6077.40186910668,15520.5749283675,8987.5042644576,7727.69074050393,10532.2141271428,105543.472805984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700024P04Rik",173254.793379619,27728.3810509957,22944.618309867,85928.1702516948,62542.173862098,27960.6564935323,60556.8703863805,54516.6357503803,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700056E22Rik",1657528.16584911,2660814.66223777,991237.351346155,3103001.96708518,1238150.41608106,10212745.0473021,1781723.67363787,2996459.76920444,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1700061G19Rik",1504565.14447267,422058.666101805,269894.801587855,855249.085830261,839645.046753847,236460.016205246,656699.504740206,574098.115207989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1810009A15Rik",162904.034134663,146713.336573635,32537.6071650556,65123.5691873336,167572.335838451,23933.7727460498,140462.431145374,44181.6099064857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1810037I17Rik",26971.6439398221,25682.5205966671,49959.8846486075,47014.130342626,29621.3477361157,139135.887536433,28610.9209436609,63259.3491469575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
