1517420749
case,n,p,nclass,lambda,nseg,opt.model,node.size,stop.prob,max.rules,mean_accu_test,mean_accu_train,nsample,sd_accu_test,sd_accu_train,mean_seconds,sd_seconds 
wdbc,569,30,2,1,10,mip,5,0.8,10,0.910001235483074,0.95606622189276,10,0.0240513571969616,0.0062289615607923,0.914597225189209,0.224012610185107
wdbc,569,30,2,1,10,mip,5,0.9,10,0.910001235483074,0.95606622189276,10,0.0240513571969616,0.0062289615607923,0.857244873046875,0.142313083142122
wdbc,569,30,2,1,10,mip,5,1,10,0.928285149493452,1,10,0.0166528821907057,0,1.68602333068848,0.157440237255847
wdbc,569,30,2,1,10,mip,10,0.8,10,0.910001235483074,0.95606622189276,10,0.0240513571969616,0.0062289615607923,0.830788040161133,0.178478010352976
wdbc,569,30,2,1,10,mip,10,0.9,10,0.910001235483074,0.95606622189276,10,0.0240513571969616,0.0062289615607923,0.852949500083923,0.182916741745837
wdbc,569,30,2,1,10,mip,10,1,10,0.928285149493452,1,10,0.0166528821907057,0,1.63634040355682,0.158531027682704
wdbc,569,30,2,1,10,mip,20,0.8,10,0.910001235483074,0.95606622189276,10,0.0240513571969616,0.0062289615607923,0.863321709632874,0.212201263575226
wdbc,569,30,2,1,10,mip,20,0.9,10,0.910001235483074,0.95606622189276,10,0.0240513571969616,0.0062289615607923,0.832771277427673,0.175911746153794
wdbc,569,30,2,1,10,mip,20,1,10,0.928285149493452,1,10,0.0166528821907057,0,1.6091068983078,0.162592313490094
wdbc,569,30,2,1,10,lp,5,0.8,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.348669600486755,0.0435535529196701
wdbc,569,30,2,1,10,lp,5,0.9,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.353878593444824,0.0460205105473439
wdbc,569,30,2,1,10,lp,5,1,10,0.918797874969113,0.983470471954534,10,0.00920638616251938,0.0224534201430701,1.00128972530365,0.196975120873542
wdbc,569,30,2,1,10,lp,10,0.8,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.346546816825867,0.0124200439007649
wdbc,569,30,2,1,10,lp,10,0.9,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.351166296005249,0.04101608575552
wdbc,569,30,2,1,10,lp,10,1,10,0.918797874969113,0.983470471954534,10,0.00920638616251938,0.0224534201430701,1.00379707813263,0.179079490584766
wdbc,569,30,2,1,10,lp,20,0.8,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.343688988685608,0.0401135322942041
wdbc,569,30,2,1,10,lp,20,0.9,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.343024158477783,0.0378159360366125
wdbc,569,30,2,1,10,lp,20,1,10,0.918797874969113,0.983119594761552,10,0.00920638616251938,0.0221923118055246,0.993606805801392,0.188086102963994
wdbc,569,30,2,1,10,hybrid,5,0.8,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.350183391571045,0.0447339194878891
wdbc,569,30,2,1,10,hybrid,5,0.9,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.349376106262207,0.0413806415706741
wdbc,569,30,2,1,10,hybrid,5,1,10,0.920192735359526,1,10,0.016989157852586,0,1.53766973018646,0.683426159240401
wdbc,569,30,2,1,10,hybrid,10,0.8,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.347565078735352,0.0414614823211828
wdbc,569,30,2,1,10,hybrid,10,0.9,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.342360615730286,0.0417412539184664
wdbc,569,30,2,1,10,hybrid,10,1,10,0.919841858166543,0.999647887323944,10,0.0162234782035215,0.00111347804935506,1.5417929649353,0.688908260876615
wdbc,569,30,2,1,10,hybrid,20,0.8,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.355564498901367,0.0510584140912685
wdbc,569,30,2,1,10,hybrid,20,0.9,10,0.907190511489993,0.951493699036323,10,0.0171470007009395,0.00889808875549876,0.334390020370483,0.0079547169722986
wdbc,569,30,2,1,10,hybrid,20,1,10,0.919841858166543,0.999297010130961,10,0.0162234782035215,0.00148203563309121,1.58990168571472,0.700140150750807
