dsname,bs_accu,rp_accu,ct_accu
wdbc,0.919152459,0.925475661,0.921952063
auto,0.858163265,0.865816327,0.864795918
birthwt,0.611433371,0.649608063,0.664602464
heart,0.718861101,0.761698327,0.745216103
GlaucomaMVF,0.885882353,0.843529412,0.817647059
titanic,0.786824209,0.782827677,0.784553381
parkin,0.862592047,0.827614138,0.823637703
ILPD,0.658659323,0.688189051,0.69193499
Ionos,0.86325,0.875769481,0.892344156
pima,0.686979167,0.7296875,0.739322917
sonar,0.692307692,0.705769231,0.704807692
trans,0.763368984,0.772459893,0.756951872
peptide,0.881935484,0.872903226,0.877419355
hepatitis,0.717282717,0.794605395,0.802397602
derm,0.866120219,0.928415301,0.921311475
derm.noi,0.887431694,0.918579235,0.91420765
iris,0.894666667,0.936,0.936
Iris,0.954666667,0.938666667,0.937333333
