"dsname","bs_train","bs_accu_sd","rp_accu_sd","ct_accu_sd","c5_accu_sd"
"wdbc",0.0054298329310444,0.0198361938297697,0.0142790786636162,0.0156200893690661,0.0143038032351022
"auto",0.0115471055760326,0.0127267258053535,0.0178692864443044,0.0185132151845895,0.0194279926169998
"birthwt",0.0226834321578508,0.0352520830040725,0.0432693834980821,0.0508439613259032,0.0345159649994894
"heart",0.0170210070896192,0.0416915104526213,0.0503712836175785,0.0183881565284699,0.029916952399221
"GlaucomaMVF",0.0224935378818823,0.0670232677209478,0.0589671449453552,0.0373064658636087,0.0610556877051876
"titanic",0.0074730398250186,0.00648363023588194,0.00789293114878146,0.00816102600635281,0.00861299849675537
"parkin",0.0218636586968235,0.0575385648296524,0.0444225601767037,0.0408655889358353,0.0425069898829956
"ILPD",0.00671127365774274,0.0373152716143074,0.0312448166304756,0.0378744207885417,0.0256713717396676
"Ionos",0.0126194193473276,0.0173697627100412,0.0250748259443885,0.024803446709782,0.0296402403030751
"pima",0.00364169738947969,0.0268732952373463,0.0178659245933166,0.016807582092,0.0311049876166127
"sonar",0.0143695588278589,0.0423271128697928,0.0314690710477784,0.0333240864886411,0.0387409720984406
"trans",0.0150330907249849,0.0363784877575019,0.0172108902321038,0.0123786492374094,0.0149562759097348
"peptide",0.0147276504673238,0.0307233486632118,0.0252722486802969,0.0285301057234873,0.0382045900923913
"hepatitis",0.0177975187520067,0.0578231210980809,0.0617423687255063,0.0604815556714069,0.044778138178818
"derm",0.00856295757635204,0.0199866910372972,0.0177443772356394,0.041392415640483,0.0258626438605448
"derm.noi",0.00822702352687521,0.0320965577171331,0.0158375702144147,0.0204786438215741,0.0244107330677609
"iris",0.0670507454778528,0.0765167616592261,0.0206559111797729,0.0272528172742327,0.0328107179116298
"Iris",0.0179986282056147,0.0132590523468234,0.0218185559264597,0.0397771570404701,0.040147874811151
"dystrophy",0.00783867093289494,0.0379491680134635,0.0317885973676543,0.0303825137644736,0.0482671103014962
"smiley",0,0.00706792441637258,0.00463800723491363,0.00859974159818513,0.00984321537348894
"spirals",0.015559523303498,0.0279240592754663,0.0370535148530198,0.0355902608401044,0.0226104968521533
