name, batch, bs_accu, bs_f1, bs_auc, bs_cpu, bs_nleaves, bs_depth, bs_accu_train 
anneal, 1, 0.86885, 0.9196, 0.87624, 2.8, 39, 7, 0.91373
anneal, 2, 0.81967, 0.88421, 0.8722, 2.8, 40, 7, 0.91197
anneal, 3, 0.87295, 0.91644, 0.91866, 2.6, 41, 7, 0.92782
anneal, 4, 0.82787, 0.89119, 0.89283, 3.1, 40, 7, 0.91549
anneal, 5, 0.86475, 0.91384, 0.91524, 2.4, 35, 7, 0.9331
anneal, 6, 0.84836, 0.90027, 0.88677, 2.6, 42, 7, 0.92782
anneal, 7, 0.86885, 0.9171, 0.86789, 2.8, 43, 8, 0.91549
anneal, 8, 0.83607, 0.89362, 0.89183, 2.5, 40, 7, 0.92782
anneal, 9, 0.80738, 0.87664, 0.84079, 2.6, 37, 7, 0.92077
anneal, 10, 0.84836, 0.90537, 0.86001, 2.5, 37, 7, 0.9243
anneal, 11, 0.84836, 0.90237, 0.86467, 2.6, 42, 7, 0.91901
anneal, 12, 0.85246, 0.90816, 0.86554, 2.6, 41, 7, 0.90493
anneal, 13, 0.79508, 0.86702, 0.86742, 2.4, 34, 6, 0.90845
anneal, 14, 0.86475, 0.9156, 0.91413, 2.6, 37, 7, 0.91725
anneal, 15, 0.83607, 0.89247, 0.89134, 2.2, 32, 7, 0.91901
anneal, 16, 0.84016, 0.89922, 0.84377, 2.1, 34, 7, 0.93486
anneal, 17, 0.85656, 0.90956, 0.92185, 2.6, 39, 7, 0.91373
anneal, 18, 0.84016, 0.89974, 0.89716, 2.5, 38, 7, 0.91725
anneal, 19, 0.82787, 0.89447, 0.87149, 2.3, 36, 7, 0.91197
anneal, 20, 0.86475, 0.91429, 0.88733, 2.6, 39, 7, 0.91373
audiology, 1, 0.93846, 0.84615, 0.95266, 0.36, 5, 3, 0.99338
audiology, 2, 0.96923, 0.94118, 0.99387, 0.48, 6, 3, 0.98013
audiology, 3, 0.90769, 0.84211, 0.97704, 0.44, 6, 3, 0.98675
audiology, 4, 0.93846, 0.88235, 0.94508, 0.36, 6, 4, 0.98675
audiology, 5, 0.95385, 0.92308, 0.99409, 0.44, 6, 3, 0.99338
audiology, 6, 0.89231, 0.81081, 0.91017, 0.43, 5, 3, 0.98013
audiology, 7, 0.93846, 0.88235, 0.96811, 0.43, 6, 3, 0.98013
audiology, 8, 0.89231, 0.82927, 0.90275, 0.38, 4, 2, 0.98013
audiology, 9, 0.84615, 0.54545, 0.71598, 0.45, 5, 3, 0.98013
audiology, 10, 0.92308, 0.8, 0.89623, 0.43, 6, 3, 0.98675
audiology, 11, 0.98462, 0.97143, 0.99764, 0.44, 6, 4, 0.98013
audiology, 12, 0.93846, 0.88235, 0.93144, 0.31, 5, 3, 0.98675
audiology, 13, 0.95385, 0.89655, 0.95026, 0.32, 5, 3, 0.99338
audiology, 14, 0.90769, 0.8, 0.92157, 0.38, 5, 3, 0.98013
audiology, 15, 0.93846, 0.90476, 0.97, 0.38, 6, 3, 0.99338
audiology, 16, 0.90769, 0.85, 0.91762, 0.25, 4, 2, 0.99338
audiology, 17, 0.93846, 0.875, 0.97321, 0.32, 5, 3, 0.99338
audiology, 18, 0.90769, 0.8, 0.95658, 0.32, 5, 3, 0.98013
audiology, 19, 0.90769, 0.82353, 0.93495, 0.37, 5, 3, 0.97351
audiology, 20, 0.90769, 0.8125, 0.95272, 0.32, 4, 2, 0.98013
australian-credit, 1, 0.83673, 0.85047, 0.89722, 2.3, 31, 6, 0.94311
australian-credit, 2, 0.83673, 0.85586, 0.86165, 2.3, 28, 6, 0.94967
australian-credit, 3, 0.82653, 0.83962, 0.87558, 2.2, 30, 7, 0.94967
australian-credit, 4, 0.83163, 0.85202, 0.85698, 2.1, 27, 6, 0.95405
australian-credit, 5, 0.81122, 0.837, 0.85912, 2.3, 31, 6, 0.96061
australian-credit, 6, 0.82653, 0.83654, 0.83064, 2.3, 30, 6, 0.93873
australian-credit, 7, 0.77551, 0.80357, 0.80744, 2.1, 28, 6, 0.95405
australian-credit, 8, 0.82653, 0.8381, 0.83564, 2.4, 31, 6, 0.9453
australian-credit, 9, 0.82653, 0.84259, 0.87409, 2.2, 26, 6, 0.95186
australian-credit, 10, 0.86735, 0.87736, 0.86408, 2.4, 29, 6, 0.94311
australian-credit, 11, 0.81122, 0.84255, 0.82471, 2.3, 30, 7, 0.9453
australian-credit, 12, 0.80102, 0.8134, 0.8385, 2.2, 30, 6, 0.95186
australian-credit, 13, 0.82143, 0.84018, 0.86603, 2.8, 34, 6, 0.93873
australian-credit, 14, 0.82653, 0.82292, 0.8561, 2.4, 29, 6, 0.94748
australian-credit, 15, 0.82143, 0.83412, 0.83185, 2.4, 30, 6, 0.94311
australian-credit, 16, 0.81122, 0.83105, 0.87234, 2.3, 31, 6, 0.9453
australian-credit, 17, 0.81122, 0.83408, 0.85985, 2.3, 30, 6, 0.94748
australian-credit, 18, 0.81122, 0.83258, 0.81559, 2, 28, 6, 0.96499
australian-credit, 19, 0.86224, 0.87892, 0.89431, 2.5, 33, 6, 0.94311
australian-credit, 20, 0.82653, 0.85217, 0.86125, 2.3, 30, 6, 0.94311
breast-wisconsin, 1, 0.92683, 0.93878, 0.9408, 0.59, 8, 4, 0.99163
breast-wisconsin, 2, 0.94146, 0.95455, 0.96544, 0.57, 8, 4, 0.98745
breast-wisconsin, 3, 0.96585, 0.97189, 0.96371, 0.89, 11, 5, 0.97699
breast-wisconsin, 4, 0.96098, 0.97101, 0.94234, 0.77, 9, 4, 0.98954
breast-wisconsin, 5, 0.95122, 0.9635, 0.96168, 0.76, 10, 5, 0.98326
breast-wisconsin, 6, 0.93171, 0.94444, 0.98262, 0.7, 9, 5, 0.98536
breast-wisconsin, 7, 0.97073, 0.97727, 0.97499, 0.84, 10, 4, 0.98745
breast-wisconsin, 8, 0.95122, 0.96183, 0.9599, 0.83, 11, 5, 0.98954
breast-wisconsin, 9, 0.97073, 0.97778, 0.97898, 0.92, 11, 5, 0.98326
breast-wisconsin, 10, 0.94634, 0.9588, 0.97514, 0.75, 11, 5, 0.98954
breast-wisconsin, 11, 0.94634, 0.95618, 0.94927, 0.67, 7, 4, 0.98745
breast-wisconsin, 12, 0.96585, 0.97071, 0.97847, 0.68, 8, 4, 0.98326
breast-wisconsin, 13, 0.92195, 0.93985, 0.96451, 0.65, 9, 5, 0.98954
breast-wisconsin, 14, 0.96098, 0.97059, 0.96941, 0.99, 12, 5, 0.98745
breast-wisconsin, 15, 0.9561, 0.96797, 0.95782, 0.74, 10, 4, 0.98536
breast-wisconsin, 16, 0.96098, 0.96774, 0.98351, 0.81, 11, 4, 0.98326
breast-wisconsin, 17, 0.94634, 0.96, 0.96739, 0.73, 9, 4, 0.98536
breast-wisconsin, 18, 0.95122, 0.96377, 0.97815, 0.84, 10, 4, 0.98745
breast-wisconsin, 19, 0.96098, 0.97222, 0.97293, 0.69, 9, 4, 0.98954
breast-wisconsin, 20, 0.98049, 0.98551, 0.98075, 0.86, 11, 5, 0.98745
diabetes, 1, 0.75758, 0.83133, 0.75297, 4, 55, 7, 0.92179
diabetes, 2, 0.67965, 0.75168, 0.69753, 3.9, 54, 7, 0.91434
diabetes, 3, 0.75325, 0.80412, 0.7581, 3.8, 56, 7, 0.90689
diabetes, 4, 0.75758, 0.81699, 0.79284, 4.1, 58, 7, 0.9013
diabetes, 5, 0.671, 0.75641, 0.72425, 3.8, 55, 7, 0.92179
diabetes, 6, 0.75325, 0.82462, 0.76919, 3.8, 56, 7, 0.90689
diabetes, 7, 0.71861, 0.78114, 0.71714, 3.8, 55, 7, 0.90689
