name, batch, bs_accu, bs_f1, bs_auc, bs_cpu, bs_nleaves, bs_depth, bs_accu_train 
anneal, 1, 0.81967, 0.89216, 0.76851, 6.1, 4, 2, 0.91373
anneal, 2, 0.7541, 0.84536, 0.78335, 5.1, 4, 2, 0.91197
anneal, 3, 0.79098, 0.86684, 0.76405, 4.5, 4, 2, 0.92958
anneal, 4, 0.7582, 0.84675, 0.75709, 5.2, 4, 2, 0.91901
anneal, 5, 0.81148, 0.88083, 0.76032, 4.3, 4, 2, 0.9331
anneal, 6, 0.80328, 0.87435, 0.78191, 4.6, 4, 2, 0.92782
anneal, 7, 0.76639, 0.848, 0.77103, 4.8, 4, 2, 0.91901
anneal, 8, 0.81148, 0.88083, 0.7952, 4.5, 4, 2, 0.92782
anneal, 9, 0.77459, 0.85564, 0.75748, 4.9, 4, 2, 0.92254
anneal, 10, 0.77049, 0.85106, 0.76344, 4.8, 4, 2, 0.92782
anneal, 11, 0.79918, 0.87273, 0.8019, 4.6, 4, 2, 0.92254
anneal, 12, 0.80328, 0.8794, 0.76648, 4.2, 4, 2, 0.90845
anneal, 13, 0.80328, 0.86885, 0.81618, 4.4, 4, 2, 0.91021
anneal, 14, 0.78689, 0.86096, 0.81764, 4.5, 4, 2, 0.91725
anneal, 15, 0.7418, 0.83377, 0.7532, 3.9, 4, 2, 0.91901
anneal, 16, 0.7623, 0.84737, 0.74247, 3.9, 4, 2, 0.93662
anneal, 17, 0.7623, 0.85279, 0.76377, 4.6, 4, 2, 0.91725
anneal, 18, 0.80328, 0.87368, 0.77524, 4.3, 4, 2, 0.91901
anneal, 19, 0.81148, 0.88442, 0.75808, 4, 4, 2, 0.91901
anneal, 20, 0.79508, 0.86979, 0.82885, 4.5, 4, 2, 0.91373
audiology, 1, 0.92308, 0.8, 0.96006, 0.56, 4, 2, 0.99338
audiology, 2, 0.95385, 0.90909, 0.98162, 0.84, 4, 2, 0.98013
audiology, 3, 0.96923, 0.94118, 0.97704, 0.79, 4, 2, 0.98675
audiology, 4, 0.93846, 0.88235, 0.96224, 0.64, 4, 3, 0.98675
audiology, 5, 0.93846, 0.9, 0.99882, 0.84, 4, 2, 0.99338
audiology, 6, 0.89231, 0.81081, 0.95981, 0.78, 4, 2, 0.98013
audiology, 7, 0.93846, 0.85714, 0.97321, 0.77, 4, 2, 0.98013
audiology, 8, 0.89231, 0.82927, 0.90275, 0.67, 4, 2, 0.98013
audiology, 9, 0.83077, 0.47619, 0.92604, 0.78, 4, 2, 0.98013
audiology, 10, 0.96923, 0.90909, 0.94969, 0.76, 4, 2, 0.98675
audiology, 11, 0.93846, 0.89474, 0.99527, 0.79, 4, 2, 0.98013
audiology, 12, 0.93846, 0.88235, 0.94917, 0.51, 4, 2, 0.98675
audiology, 13, 0.95385, 0.89655, 0.96301, 0.53, 4, 2, 0.99338
audiology, 14, 0.92308, 0.8, 0.97479, 0.57, 4, 2, 0.98013
audiology, 15, 0.93846, 0.88889, 0.98667, 0.71, 4, 2, 0.98675
audiology, 16, 0.90769, 0.85, 0.91762, 0.4, 4, 2, 0.99338
