name, batch, bs_accu, bs_f1, bs_auc, bs_cpu, bs_nleaves, bs_depth, bs_accu_train 
anneal, 1, 0.80738, 0.88993, 0.72065, 4.7, 8, 3, 0.84155
anneal, 2, 0.76639, 0.85786, 0.74299, 3.8, 8, 3, 0.84683
anneal, 3, 0.77459, 0.86747, 0.76827, 6.7, 8, 3, 0.86268
anneal, 4, 0.73361, 0.83461, 0.71397, 3.9, 8, 3, 0.87676
anneal, 5, 0.81148, 0.88942, 0.78733, 2.8, 8, 4, 0.84683
anneal, 6, 0.78279, 0.8665, 0.71775, 4.2, 8, 4, 0.84331
anneal, 7, 0.78689, 0.87065, 0.72175, 3.7, 8, 3, 0.85387
anneal, 8, 0.79918, 0.87841, 0.75551, 6.2, 8, 3, 0.87676
anneal, 9, 0.79508, 0.87923, 0.75161, 2.8, 8, 4, 0.85915
anneal, 10, 0.77049, 0.86473, 0.71415, 4.3, 8, 3, 0.88204
anneal, 11, 0.7623, 0.8599, 0.74248, 4.4, 8, 3, 0.88204
anneal, 12, 0.78279, 0.86914, 0.72247, 3.9, 8, 3, 0.83451
anneal, 13, 0.76639, 0.86331, 0.79575, 3.1, 8, 4, 0.84331
anneal, 14, 0.77459, 0.86216, 0.75517, 3.6, 8, 3, 0.85387
anneal, 15, 0.7377, 0.83505, 0.70626, 4.8, 8, 3, 0.88028
anneal, 16, 0.77049, 0.86473, 0.69072, 3.4, 8, 4, 0.87148
anneal, 17, 0.7582, 0.85213, 0.75457, 4, 8, 3, 0.87324
anneal, 18, 0.7541, 0.85366, 0.74326, 3.8, 8, 3, 0.8662
anneal, 19, 0.80328, 0.87879, 0.76849, 2.7, 8, 4, 0.84683
anneal, 20, 0.79508, 0.87745, 0.78986, 3.7, 8, 3, 0.87676
audiology, 1, 0.92308, 0.81481, 0.96302, 0.91, 8, 5, 0.97351
audiology, 2, 0.92308, 0.85714, 0.96814, 0.72, 6, 5, 0.97351
audiology, 3, 0.93846, 0.88889, 0.97704, 0.75, 7, 4, 0.97351
audiology, 4, 0.93846, 0.88889, 0.97483, 0.98, 8, 5, 0.97351
