name, batch, gosdt_accu, gosdt_time_elapsed, gosdt_accu_train, mem_MiB 
pendigits, 1, 0.97110, 405.60, 0.97026, 7251.597656
pendigits, 2, 0.96843, 395.72, 0.97140, 6905.785156
pendigits, 3, 0.97243, 379.78, 0.96969, 6730.863281
pendigits, 4, 0.96754, 377.88, 0.97178, 6631.960938
pendigits, 5, 0.96576, 340.28, 0.97255, 6196.722656
pendigits, 6, 0.97154, 359.39, 0.97007, 6535.000000
pendigits, 7, 0.97332, 391.41, 0.96930, 6971.429688
pendigits, 8, 0.97154, 401.97, 0.97007, 7210.640625
pendigits, 9, 0.97065, 375.66, 0.97045, 6706.011719
pendigits, 10, 0.97021, 354.09, 0.97064, 6594.089844
pendigits, 11, 0.96799, 395.69, 0.97159, 7095.265625
pendigits, 12, 0.96576, 359.49, 0.97255, 6493.964844
pendigits, 13, 0.96754, 395.26, 0.97178, 7082.242188
pendigits, 14, 0.96621, 392.82, 0.97235, 6903.414062
pendigits, 15, 0.97110, 379.44, 0.97026, 6775.496094
pendigits, 16, 0.97732, 377.75, 0.96759, 6799.652344
pendigits, 17, 0.96443, 383.73, 0.97312, 6742.562500
pendigits, 18, 0.96976, 399.29, 0.97083, 6832.718750
pendigits, 19, 0.97021, 379.40, 0.97064, 6773.144531
pendigits, 20, 0.97110, 378.66, 0.97026, 6793.515625
letter, 1, 0.95900, 635.75, 0.95950, 8722.710938
letter, 2, 0.96033, 630.25, 0.95893, 8709.925781
letter, 3, 0.95833, 637.43, 0.95979, 8726.332031
letter, 4, 0.96100, 633.95, 0.95864, 8745.398438
letter, 5, 0.96000, 624.63, 0.95907, 8678.281250
letter, 6, 0.95817, 627.41, 0.95986, 8676.835938
letter, 7, 0.96050, 639.38, 0.95886, 8752.609375
letter, 8, 0.95750, 631.18, 0.96014, 8686.082031
letter, 9, 0.95817, 627.37, 0.95986, 8719.894531
letter, 10, 0.96167, 636.61, 0.95836, 8708.019531
letter, 11, 0.95733, 632.22, 0.96021, 8758.808594
letter, 12, 0.95883, 637.98, 0.95957, 8735.714844
letter, 13, 0.95850, 635.82, 0.95971, 8721.019531
letter, 14, 0.96050, 632.31, 0.95886, 8708.019531
letter, 15, 0.95817, 629.36, 0.95986, 8661.187500
letter, 16, 0.95817, 631.57, 0.95986, 8721.062500
letter, 17, 0.96033, 624.11, 0.95893, 8712.667969
letter, 18, 0.95850, 629.49, 0.95971, 8724.160156
letter, 19, 0.95650, 632.12, 0.96057, 8749.324219
letter, 20, 0.95600, 622.43, 0.96079, 8696.441406
yeast, 1, 0.70404, 303.78, 0.70328, 7100.121094
yeast, 2, 0.71525, 309.42, 0.69846, 7503.808594
yeast, 3, 0.69058, 310.85, 0.70713, 6881.355469
yeast, 4, 0.67713, 309.40, 0.71484, 6711.699219
yeast, 5, 0.75336, 302.74, 0.68208, 6959.890625
yeast, 6, 0.71525, 313.07, 0.69846, 7039.359375
yeast, 7, 0.71973, 309.07, 0.69653, 7435.800781
yeast, 8, 0.67040, 311.05, 0.71773, 7111.777344
yeast, 9, 0.70179, 308.72, 0.70424, 7455.242188
yeast, 10, 0.69955, 306.73, 0.70520, 7425.804688
yeast, 11, 0.71973, 306.26, 0.69653, 7331.320312
yeast, 12, 0.71525, 310.57, 0.69846, 6909.308594
yeast, 13, 0.71300, 311.46, 0.69942, 7079.300781
yeast, 14, 0.67265, 305.97, 0.71676, 7276.644531
yeast, 15, 0.70179, 313.58, 0.70231, 7304.800781
yeast, 16, 0.68386, 306.53, 0.71002, 7294.476562
yeast, 17, 0.69507, 313.56, 0.70713, 7201.289062
yeast, 18, 0.68161, 306.45, 0.71291, 7193.316406
yeast, 19, 0.72646, 309.59, 0.69364, 7586.691406
yeast, 20, 0.67040, 308.29, 0.71387, 7314.332031
splice-1, 1, 0.83177, 305.78, 0.84416, 4155.636719
splice-1, 2, 0.83699, 308.78, 0.84192, 4840.656250
splice-1, 3, 0.83490, 305.16, 0.84281, 4443.843750
splice-1, 4, 0.83908, 310.27, 0.84102, 4946.828125
splice-1, 5, 0.83072, 308.43, 0.84460, 4587.464844
splice-1, 6, 0.85266, 305.02, 0.83520, 3985.136719
splice-1, 7, 0.83804, 309.73, 0.84147, 5009.582031
splice-1, 8, 0.83281, 308.62, 0.84371, 4573.976562
splice-1, 9, 0.83804, 309.21, 0.84147, 4760.167969
splice-1, 10, 0.83595, 307.45, 0.84236, 4325.722656
splice-1, 11, 0.84222, 309.67, 0.83968, 4601.156250
splice-1, 12, 0.82863, 309.56, 0.84550, 4893.460938
splice-1, 13, 0.82654, 308.67, 0.84639, 4750.855469
splice-1, 14, 0.82968, 309.52, 0.84505, 4810.898438
splice-1, 15, 0.83281, 308.92, 0.84371, 4819.093750
splice-1, 16, 0.83490, 308.26, 0.84281, 4280.640625
splice-1, 17, 0.82968, 309.33, 0.84505, 4213.843750
splice-1, 18, 0.82341, 309.13, 0.84774, 4571.347656
splice-1, 19, 0.83908, 309.79, 0.84102, 4856.613281
splice-1, 20, 0.83908, 306.77, 0.84102, 4822.613281
mushroom, 1, 0.94791, 316.55, 0.94355, 10373.484375
mushroom, 2, 0.94463, 317.07, 0.94495, 10416.804688
mushroom, 3, 0.93847, 316.24, 0.94759, 10251.761719
mushroom, 4, 0.94053, 316.24, 0.94671, 10294.660156
mushroom, 5, 0.94463, 313.57, 0.94495, 10322.574219
mushroom, 6, 0.93601, 316.55, 0.94865, 10407.570312
mushroom, 7, 0.94340, 316.10, 0.94548, 10353.082031
mushroom, 8, 0.94750, 317.05, 0.94372, 10402.695312
mushroom, 9, 0.94627, 315.59, 0.94425, 10281.929688
mushroom, 10, 0.94176, 316.73, 0.94618, 10382.378906
mushroom, 11, 0.93929, 305.50, 0.94724, 10120.937500
mushroom, 12, 0.94381, 316.30, 0.94530, 10308.328125
mushroom, 13, 0.94586, 317.99, 0.94442, 10469.429688
mushroom, 14, 0.94832, 315.11, 0.94337, 10326.996094
mushroom, 15, 0.94299, 306.42, 0.94566, 10186.816406
mushroom, 16, 0.94340, 313.50, 0.94548, 10237.917969
mushroom, 17, 0.94586, 316.54, 0.94442, 10374.742188
mushroom, 18, 0.94299, 315.48, 0.94566, 10311.019531
mushroom, 19, 0.94053, 305.82, 0.94671, 10165.140625
mushroom, 20, 0.94504, 313.41, 0.94478, 10231.082031
zoo-1, 1, 1.00000, 0.04, 1.00000, 178.320312
zoo-1, 2, 1.00000, 0.04, 1.00000, 178.355469
zoo-1, 3, 1.00000, 0.04, 1.00000, 178.609375
zoo-1, 4, 1.00000, 0.04, 1.00000, 178.300781
zoo-1, 5, 1.00000, 0.04, 1.00000, 178.218750
zoo-1, 6, 1.00000, 0.04, 1.00000, 178.906250
zoo-1, 7, 1.00000, 0.04, 1.00000, 177.695312
zoo-1, 8, 1.00000, 0.04, 1.00000, 178.253906
zoo-1, 9, 1.00000, 0.04, 1.00000, 178.253906
zoo-1, 10, 1.00000, 0.04, 1.00000, 178.125000
zoo-1, 11, 1.00000, 0.04, 1.00000, 178.644531
zoo-1, 12, 1.00000, 0.04, 1.00000, 178.574219
zoo-1, 13, 1.00000, 0.04, 1.00000, 178.289062
zoo-1, 14, 1.00000, 0.04, 1.00000, 178.324219
zoo-1, 15, 1.00000, 0.04, 1.00000, 177.769531
zoo-1, 16, 1.00000, 0.04, 1.00000, 178.277344
zoo-1, 17, 1.00000, 0.04, 1.00000, 178.230469
zoo-1, 18, 0.90323, 0.04, 1.00000, 178.371094
zoo-1, 19, 1.00000, 0.04, 1.00000, 178.085938
zoo-1, 20, 1.00000, 0.04, 1.00000, 178.207031
diabetes, 1, 0.76623, 321.62, 0.75978, 7859.183594
diabetes, 2, 0.80087, 303.31, 0.74860, 11515.632812
diabetes, 3, 0.76190, 321.54, 0.74860, 9137.316406
diabetes, 4, 0.74892, 321.10, 0.75419, 6970.933594
diabetes, 5, 0.77922, 320.29, 0.74115, 10417.757812
diabetes, 6, 0.77489, 321.66, 0.74302, 6580.488281
diabetes, 7, 0.73593, 301.52, 0.75978, 6901.476562
diabetes, 8, 0.76190, 318.60, 0.74860, 6843.320312
diabetes, 9, 0.76623, 302.33, 0.74674, 8750.933594
