name, batch, osdt_accu, osdt_accu_train, osdt_time_elapsed, best_is_cart, mem_MiB 
pendigits, 1, 0.98310, 0.98742, 303.58, 0, 3524.039062
pendigits, 2, 0.99289, 0.99199, 303.43, 0, 3541.343750
pendigits, 3, 0.99111, 0.99276, 303.43, 0, 3528.539062
pendigits, 4, 0.99022, 0.99314, 303.40, 0, 3462.605469
pendigits, 5, 0.99111, 0.99276, 303.42, 0, 3498.382812
pendigits, 6, 0.98177, 0.98799, 303.40, 0, 3518.109375
pendigits, 7, 0.99289, 0.99199, 303.58, 0, 3656.859375
pendigits, 8, 0.98933, 0.99352, 303.47, 0, 3564.910156
pendigits, 9, 0.98177, 0.98799, 303.44, 0, 3566.863281
pendigits, 10, 0.99111, 0.99276, 303.47, 0, 3544.148438
pendigits, 11, 0.99111, 0.99276, 303.32, 0, 3397.121094
pendigits, 12, 0.98888, 0.99371, 303.42, 0, 3569.664062
pendigits, 13, 0.99111, 0.99276, 303.42, 0, 3596.871094
pendigits, 14, 0.98977, 0.99333, 303.39, 0, 3571.894531
pendigits, 15, 0.99155, 0.99256, 303.38, 0, 3566.121094
pendigits, 16, 0.99111, 0.99276, 303.44, 0, 3612.183594
pendigits, 17, 0.97866, 0.98761, 303.38, 0, 3562.812500
pendigits, 18, 0.99200, 0.99237, 303.38, 0, 3577.238281
pendigits, 19, 0.99200, 0.99237, 303.39, 0, 3554.308594
pendigits, 20, 0.99155, 0.99256, 303.41, 0, 3554.429688
letter, 1, 0.95900, 0.95950, 302.59, 1, 3612.089844
letter, 2, 0.96033, 0.95893, 302.53, 1, 3527.328125
letter, 3, 0.95833, 0.95979, 302.43, 1, 3525.300781
letter, 4, 0.96100, 0.95864, 302.50, 1, 3505.660156
letter, 5, 0.96000, 0.95907, 302.52, 1, 3502.894531
letter, 6, 0.95817, 0.95986, 790.16, 1, 3286.835938
letter, 7, 0.96050, 0.95886, 2413.46, 1, 2271.945312
letter, 8, 0.95750, 0.96014, 424.98, 1, 1852.218750
letter, 9, 0.95817, 0.95986, 52188.82, 1, 1839.335938
letter, 10, 0.96167, 0.95836, 304.23, 1, 3488.015625
letter, 11, 0.95733, 0.96021, 302.50, 1, 3481.539062
letter, 12, 0.95883, 0.95957, 302.45, 1, 3449.292969
letter, 13, 0.95850, 0.95971, 304.30, 1, 3497.550781
letter, 14, 0.96050, 0.95886, 302.54, 1, 3508.300781
letter, 15, 0.95817, 0.95986, 302.59, 1, 3569.218750
letter, 16, 0.95817, 0.95986, 302.41, 1, 3519.816406
letter, 17, 0.96033, 0.95893, 302.51, 1, 3539.351562
letter, 18, 0.95850, 0.95971, 302.52, 1, 3543.906250
letter, 19, 0.95650, 0.96057, 302.53, 1, 3554.695312
letter, 20, 0.95600, 0.96079, 302.54, 1, 3611.140625
yeast, 1, 0.72870, 0.73507, 305.82, 1, 6136.648438
yeast, 2, 0.73094, 0.75434, 305.63, 1, 6139.183594
yeast, 3, 0.67265, 0.78227, 305.88, 1, 6178.187500
yeast, 4, 0.67713, 0.71291, 305.86, 0, 6149.546875
yeast, 5, 0.69955, 0.71002, 305.88, 0, 6241.320312
yeast, 6, 0.71525, 0.72254, 305.80, 0, 6155.855469
yeast, 7, 0.69731, 0.75048, 305.64, 1, 6178.070312
yeast, 8, 0.68386, 0.73603, 305.83, 0, 6125.832031
yeast, 9, 0.72197, 0.73988, 305.91, 1, 6227.578125
yeast, 10, 0.67937, 0.73603, 305.84, 0, 6148.089844
yeast, 11, 0.70404, 0.73314, 305.72, 0, 6217.367188
yeast, 12, 0.72870, 0.71676, 305.93, 0, 6230.835938
yeast, 13, 0.70179, 0.72832, 305.88, 0, 6199.347656
yeast, 14, 0.66816, 0.74181, 305.90, 0, 6199.625000
yeast, 15, 0.70179, 0.72736, 305.83, 0, 6164.847656
yeast, 16, 0.69283, 0.73218, 305.86, 0, 6141.808594
yeast, 17, 0.69283, 0.72543, 305.83, 1, 6151.605469
yeast, 18, 0.68161, 0.71098, 305.67, 0, 5997.886719
yeast, 19, 0.74439, 0.71580, 305.54, 0, 6092.125000
yeast, 20, 0.69507, 0.73121, 305.85, 0, 6151.640625
splice-1, 1, 0.93939, 0.95029, 303.10, 1, 4101.375000
splice-1, 2, 0.95193, 0.94492, 303.03, 1, 4119.640625
splice-1, 3, 0.94462, 0.94805, 303.03, 1, 4080.585938
splice-1, 4, 0.95820, 0.95432, 303.03, 1, 4104.136719
splice-1, 5, 0.93626, 0.95163, 303.05, 1, 4069.640625
splice-1, 6, 0.95611, 0.94313, 303.00, 1, 4096.863281
splice-1, 7, 0.94880, 0.94626, 302.99, 1, 4104.109375
splice-1, 8, 0.94984, 0.95790, 303.00, 1, 4054.683594
splice-1, 9, 0.93626, 0.95163, 303.01, 1, 4084.179688
splice-1, 10, 0.95089, 0.94536, 303.06, 1, 4102.933594
splice-1, 11, 0.95611, 0.95522, 303.03, 1, 4108.679688
splice-1, 12, 0.94462, 0.94805, 302.98, 1, 4093.929688
splice-1, 13, 0.94462, 0.94805, 303.00, 1, 4092.187500
splice-1, 14, 0.94148, 0.96149, 303.05, 1, 4109.175781
splice-1, 15, 0.95925, 0.95387, 303.04, 1, 4125.183594
splice-1, 16, 0.94357, 0.94850, 302.98, 1, 4064.121094
splice-1, 17, 0.93626, 0.95029, 303.07, 1, 4121.699219
splice-1, 18, 0.93103, 0.95387, 302.98, 1, 4032.394531
splice-1, 19, 0.93208, 0.95343, 303.02, 1, 4075.894531
splice-1, 20, 0.95820, 0.95432, 303.06, 1, 4107.414062
mushroom, 1, 0.99508, 0.99367, 305.06, 0, 4962.867188
mushroom, 2, 0.99508, 0.99367, 305.13, 0, 4927.429688
