name, batch, osdt_accu, osdt_accu_train, osdt_time_elapsed, best_is_cart, mem_MiB 
pendigits, 1, 0.93419, 0.93194, 6.10, 0, 204.585938
pendigits, 2, 0.93553, 0.93136, 6.24, 1, 208.046875
pendigits, 3, 0.93241, 0.93270, 6.18, 1, 212.625000
pendigits, 4, 0.93197, 0.93289, 6.18, 0, 218.742188
pendigits, 5, 0.93108, 0.93327, 6.00, 0, 218.207031
pendigits, 6, 0.92975, 0.93384, 6.17, 1, 220.476562
pendigits, 7, 0.93197, 0.93289, 6.04, 0, 211.066406
pendigits, 8, 0.93508, 0.93155, 6.05, 0, 218.730469
pendigits, 9, 0.93197, 0.93289, 6.17, 0, 219.437500
pendigits, 10, 0.93375, 0.93213, 6.20, 1, 218.996094
pendigits, 11, 0.92663, 0.93518, 6.59, 1, 220.691406
pendigits, 12, 0.92930, 0.93403, 6.26, 0, 220.000000
pendigits, 13, 0.92663, 0.93518, 6.17, 1, 222.203125
pendigits, 14, 0.93153, 0.93308, 6.20, 1, 221.750000
pendigits, 15, 0.93375, 0.93213, 6.12, 1, 222.480469
pendigits, 16, 0.94042, 0.92927, 6.39, 1, 222.585938
pendigits, 17, 0.92308, 0.93670, 6.47, 1, 224.042969
pendigits, 18, 0.93108, 0.93327, 6.50, 0, 223.335938
pendigits, 19, 0.92841, 0.93441, 6.33, 0, 224.796875
pendigits, 20, 0.92975, 0.93384, 6.75, 1, 224.085938
letter, 1, 0.95900, 0.95950, 37.75, 1, 305.484375
letter, 2, 0.96033, 0.95893, 37.36, 1, 307.703125
letter, 3, 0.95833, 0.95979, 39.16, 1, 286.011719
letter, 4, 0.96100, 0.95864, 37.18, 1, 304.441406
letter, 5, 0.96000, 0.95907, 38.18, 1, 301.007812
letter, 6, 0.95817, 0.95986, 36.47, 1, 309.464844
letter, 7, 0.96050, 0.95886, 36.34, 1, 302.007812
letter, 8, 0.95750, 0.96014, 36.01, 1, 310.722656
letter, 9, 0.95817, 0.95986, 35.92, 1, 303.507812
letter, 10, 0.96167, 0.95836, 37.16, 1, 311.968750
letter, 11, 0.95733, 0.96021, 36.48, 1, 304.257812
letter, 12, 0.95883, 0.95957, 37.44, 1, 313.218750
letter, 13, 0.95850, 0.95971, 35.65, 1, 299.257812
letter, 14, 0.96050, 0.95886, 36.04, 1, 307.226562
letter, 15, 0.95817, 0.95986, 36.18, 1, 299.757812
letter, 16, 0.95817, 0.95986, 36.25, 1, 308.472656
letter, 17, 0.96033, 0.95893, 36.90, 1, 300.757812
letter, 18, 0.95850, 0.95971, 37.73, 1, 309.472656
letter, 19, 0.95650, 0.96057, 37.29, 1, 302.507812
letter, 20, 0.95600, 0.96079, 36.91, 1, 310.972656
yeast, 1, 0.70404, 0.70135, 0.36, 0, 230.863281
yeast, 2, 0.71525, 0.69653, 0.30, 0, 230.871094
yeast, 3, 0.69058, 0.70713, 0.32, 0, 230.621094
yeast, 4, 0.67713, 0.71291, 0.35, 0, 230.621094
yeast, 5, 0.75336, 0.68015, 0.33, 0, 230.625000
yeast, 6, 0.71525, 0.69653, 0.34, 0, 230.625000
yeast, 7, 0.71973, 0.69461, 0.34, 0, 230.625000
yeast, 8, 0.67040, 0.71580, 0.33, 0, 230.625000
yeast, 9, 0.70179, 0.70231, 0.37, 0, 230.625000
yeast, 10, 0.69955, 0.70328, 0.32, 0, 230.625000
yeast, 11, 0.71973, 0.69461, 0.36, 0, 230.625000
