
name, batch, dl_accu, dl_f1, dl_time_elapsed, dl_accu_train 
letter, 1, 0.98250, 0.73418, 297.24, 0.98114
letter, 2, 0.98200, 0.71579, 300.34, 0.98129
letter, 3, 0.98067, 0.71000, 297.66, 0.98193
letter, 4, 0.98233, 0.71658, 308.61, 0.98121
letter, 5, 0.98017, 0.68435, 302.77, 0.98214
letter, 6, 0.98100, 0.71642, 289.49, 0.98179
letter, 7, 0.98133, 0.70213, 310.05, 0.98164
letter, 8, 0.98100, 0.72330, 309.22, 0.98179
letter, 9, 0.98133, 0.72816, 301.42, 0.98164
letter, 10, 0.98233, 0.70879, 290.83, 0.98121
letter, 11, 0.98267, 0.74757, 299.60, 0.98107
letter, 12, 0.98117, 0.71392, 303.85, 0.98164
letter, 13, 0.97950, 0.68380, 312.87, 0.98236
letter, 14, 0.98117, 0.70185, 344.99, 0.98164
letter, 15, 0.97933, 0.68844, 289.72, 0.98243
letter, 16, 0.98283, 0.74693, 299.27, 0.98100
letter, 17, 0.98133, 0.70833, 302.06, 0.98164
letter, 18, 0.97967, 0.68718, 292.71, 0.98236
letter, 19, 0.98200, 0.74766, 300.10, 0.98136
letter, 20, 0.98033, 0.72170, 334.20, 0.98207
pendigits, 1, 0.98844, 0.94694, 102.30, 0.99485
pendigits, 2, 0.99244, 0.96296, 101.81, 0.99352
pendigits, 3, 0.99244, 0.96247, 94.72, 0.99428
pendigits, 4, 0.98933, 0.95331, 87.72, 0.99561
pendigits, 5, 0.99111, 0.95708, 95.33, 0.99409
pendigits, 6, 0.99155, 0.96033, 102.95, 0.99390
pendigits, 7, 0.99200, 0.95946, 88.90, 0.99447
pendigits, 8, 0.98933, 0.94894, 87.25, 0.99447
pendigits, 9, 0.99333, 0.96689, 92.37, 0.99390
pendigits, 10, 0.99022, 0.95528, 95.13, 0.99409
pendigits, 11, 0.99200, 0.96591, 94.25, 0.99447
pendigits, 12, 0.98933, 0.95294, 92.44, 0.99466
pendigits, 13, 0.99289, 0.96491, 114.12, 0.99409
pendigits, 14, 0.99022, 0.95510, 99.74, 0.99428
pendigits, 15, 0.99289, 0.96735, 97.66, 0.99390
pendigits, 16, 0.99200, 0.96356, 87.18, 0.99447
pendigits, 17, 0.99289, 0.96838, 90.67, 0.99409
pendigits, 18, 0.99289, 0.96721, 87.47, 0.99409
pendigits, 19, 0.98933, 0.94958, 85.54, 0.99409
