name, batch, dl_accu, dl_f1, dl_time_elapsed, dl_accu_train 
pendigits, 1, 0.93419, 0.71970, 0.01, 0.93194
pendigits, 2, 0.93553, 0.71173, 0.01, 0.93136
pendigits, 3, 0.93241, 0.69960, 0.01, 0.93270
pendigits, 4, 0.93197, 0.71402, 0.01, 0.93289
pendigits, 5, 0.93108, 0.69062, 0.01, 0.93327
pendigits, 6, 0.92975, 0.70301, 0.01, 0.93384
pendigits, 7, 0.93197, 0.68583, 0.01, 0.93289
pendigits, 8, 0.93508, 0.71705, 0.01, 0.93155
pendigits, 9, 0.93197, 0.68966, 0.01, 0.93289
pendigits, 10, 0.93375, 0.72661, 0.01, 0.93213
pendigits, 11, 0.92663, 0.70163, 0.01, 0.93518
pendigits, 12, 0.92930, 0.71758, 0.01, 0.93403
pendigits, 13, 0.92663, 0.66801, 0.01, 0.93518
pendigits, 14, 0.93153, 0.70155, 0.01, 0.93308
pendigits, 15, 0.93375, 0.72045, 0.01, 0.93213
pendigits, 16, 0.94042, 0.75093, 0.01, 0.92927
pendigits, 17, 0.92308, 0.68140, 0.01, 0.93670
pendigits, 18, 0.93108, 0.70476, 0.01, 0.93327
pendigits, 19, 0.92841, 0.70130, 0.01, 0.93441
pendigits, 20, 0.92975, 0.71480, 0.01, 0.93384
letter, 1, 0.95900, 0.00000, 0.04, 0.95950
letter, 2, 0.96033, 0.00000, 0.04, 0.95893
letter, 3, 0.95833, 0.00000, 0.04, 0.95979
letter, 4, 0.96100, 0.00000, 0.04, 0.95864
letter, 5, 0.96000, 0.00000, 0.03, 0.95907
letter, 6, 0.95817, 0.00000, 0.03, 0.95986
letter, 7, 0.96050, 0.00000, 0.03, 0.95886
letter, 8, 0.95750, 0.00000, 0.03, 0.96014
letter, 9, 0.95817, 0.00000, 0.03, 0.95986
letter, 10, 0.96167, 0.00000, 0.03, 0.95836
letter, 11, 0.95733, 0.00000, 0.04, 0.96021
letter, 12, 0.95883, 0.00000, 0.03, 0.95957
letter, 13, 0.95850, 0.00000, 0.03, 0.95971
letter, 14, 0.96050, 0.00000, 0.03, 0.95886
letter, 15, 0.95817, 0.00000, 0.03, 0.95986
